brewery,beer_name,beer_style,availability,abv,master_style
The Mash House Brewery & Chophouse,Irish Red,Irish-Style Red Ale,,5.0,Ale
The Mash House Brewery & Chophouse,Natural Blonde,Golden or Blonde Ale,,4.5,Ale
Bright Light Brewing Company,60 Watt IPA,American-Style India Pale Ale,Year Round,6.0,IPA
Bright Light Brewing Company,Hazelnut Toffee Porter,Brown Porter,Year Round,6.0,Porter
Bright Light Brewing Company,Mike's Banana Hamik,Belgian-Style White (or Wit) / Belgian-Style Wheat,Year Round,5.8,Other
Bright Light Brewing Company,Not To Be Truffled With,Golden or Blonde Ale,Year Round,6.2,Ale
Bright Light Brewing Company,The Brown Irishman,American-Style Brown Ale,Year Round,5.5,Ale
Bright Light Brewing Company,The Scalawag,Fruit Beer,Year Round,5.51,Other
Bright Light Brewing Company,Yule Saison,French & Belgian-Style Saison,Year Round,7.48,Saison
Urban Orchard Cider Company,Apple Cider,Fruit Cider,,4.5,Other
Urban Orchard Cider Company,Mixed Berry,Fruit Cider,,6.0,Other
Coors Brewing Company,Batch 19,American-Style Lager,Year Round,5.5,Lager
Coors Brewing Company,Chimp,Fruit Wheat Ale or Lager with or without Yeast,,9.5,Other
Coors Brewing Company,Coors Banquet,American-Style Light (Low Calorie) Lager,Year Round,5.0,Lager
Coors Brewing Company,Coors Light,American-Style Light (Low Calorie) Lager,Year Round,4.2,Lager
Coors Brewing Company,Coors Light Summer Brew,Fruit Beer,,3.9,Other
Coors Brewing Company,Coors Non-Alcoholic,Non-Alcoholic (Beer) Malt Beverages,Year Round,0.5,Other
Coors Brewing Company,Country Club,American-Style Malt Liquor,Year Round,5.86,Other
Coors Brewing Company,Crimson Crossing,American-Style Wheat Beer,,,Wheat Beer
Coors Brewing Company,Extra Gold Lager,American-Style Premium Lager,Year Round,5.0,Lager
Coors Brewing Company,Golden Knot,American-Style Wheat Beer,,,Wheat Beer
Coors Brewing Company,Hamm's,American-Style Lager,,4.7,Lager
Coors Brewing Company,Hamm's Special Light,American-Style Lager,,3.8,Lager
Coors Brewing Company,Icehouse,American-Style Light (Low Calorie) Lager,Year Round,5.5,Lager
Coors Brewing Company,Icehouse Edge,American-Style Malt Liquor,,8.0,Other
Coors Brewing Company,Impulse,Belgian-Style White (or Wit) / Belgian-Style Wheat,,8.5,Other
Coors Brewing Company,Keystone Ice,American-Style Lager,Year Round,5.9,Lager
Coors Brewing Company,Keystone Light,American-Style Light (Low Calorie) Lager,Year Round,4.2,Lager
Coors Brewing Company,Keystone Premium,American-Style Premium Lager,,,Lager
Coors Brewing Company,Killian's Irish Red,Irish-Style Red Ale,Year Round,5.4,Ale
Coors Brewing Company,Killian's Irish Stout,Classic Irish-Style Dry Stout,,4.8,Stout
Coors Brewing Company,Magnum,American-Style Malt Liquor,,5.6,Other
Coors Brewing Company,Milwaukee's Best,American-Style Light (Low Calorie) Lager,Year Round,4.8,Lager
Coors Brewing Company,Milwaukee's Best Ice,American-Style Lager,Year Round,5.9,Lager
Coors Brewing Company,Milwaukee's Best Light,American-Style Light (Low Calorie) Lager,Year Round,4.1,Lager
Coors Brewing Company,Olde English 800,American-Style Malt Liquor,Year Round,5.9,Other
Coors Brewing Company,Pine in the Neck,American-Style India Pale Ale,,7.5,IPA
Coors Brewing Company,Proximity,Specialty Beer,,8.5,Other
Coors Brewing Company,Red Dog,American-Style Lager,,4.8,Lager
Coors Brewing Company,Rounder Belgian Pale Ale,Belgian-Style Pale Ale,Year Round,5.6,Pale Ale
Coors Brewing Company,Sharp's,Non-Alcoholic (Beer) Malt Beverages,Year Round,0.0,Other
Coors Brewing Company,Sparks,Flavored Malt Beverage,Year Round,6.0,Other
Coors Brewing Company,Sparks Blackberry,Flavored Malt Beverage,Year Round,8.0,Other
Coors Brewing Company,Sparks Iced Tea,Flavored Malt Beverage,Year Round,8.0,Other
Coors Brewing Company,Sparks Lemonade,Flavored Malt Beverage,Year Round,8.0,Other
Coors Brewing Company,Steel Reserve BLK Berry,American-Style Lager,Year Round,8.0,Lager
Coors Brewing Company,Steel Reserve High Gravity 6.0,American-Style Lager,,6.0,Lager
Coors Brewing Company,Third Shift,American-Style Amber Lager,Year Round,5.3,Lager
Coors Brewing Company,TK Lager,American-Style Amber/Red Ale,,5.5,Ale
Coors Brewing Company,Zima Clear,Flavored Malt Beverage,,5.0,Other
Homeplace Beer Company,Big Bang Smash IPA,American-Style India Pale Ale,Seasonal,6.5,IPA
Homeplace Beer Company,Biscuits n' Gravy ESB,Extra Special Bitter,Seasonal,5.0,Other
Homeplace Beer Company,Brown Mule,English-Style Brown Ale,Year Round,5.4,Ale
Homeplace Beer Company,Coffee Blonde,Golden or Blonde Ale,Seasonal,5.0,Ale
Homeplace Beer Company,Double Island West Coast IPA,American-Style India Pale Ale,Seasonal,6.5,IPA
Homeplace Beer Company,Faith Healer,Session India Pale Ale,Year Round,4.7,IPA
Homeplace Beer Company,Frankie,American-Style Amber Lager,Year Round,5.3,Lager
Homeplace Beer Company,Golden Hearts,American-Style Lager,Year Round,4.2,Lager
Homeplace Beer Company,Mustang Oil Stout,American-Style Stout,Seasonal,7.2,Stout
Homeplace Beer Company,Red Dot,American-Style India Pale Ale,Seasonal,6.2,IPA
Homeplace Beer Company,Vanilla Bean Float Porter,Robust Porter,Seasonal,6.6,Porter
NoDa Brewing Company,'tis the Saison,French & Belgian-Style Saison,Limited,7.0,Saison
NoDa Brewing Company,366 Wit,Belgian-Style White (or Wit) / Belgian-Style Wheat,,6.0,Other
NoDa Brewing Company,80 Schilling,Scottish-Style Heavy Ale,,4.5,Ale
NoDa Brewing Company,Aprinox,American-Style India Pale Ale,,,IPA
NoDa Brewing Company,Autopilot,Golden or Blonde Ale,Limited,4.8,Ale
NoDa Brewing Company,Bandito,American-Style Light (Low Calorie) Lager,,4.9,Lager
NoDa Brewing Company,Barn Hopper,Other Belgian-Style Ales,Limited,7.5,Other
NoDa Brewing Company,Belgian Baster,Belgian-Style Dubbel,Limited,7.4,Other
NoDa Brewing Company,Boba's Galactic Trip,Berliner-Style Weisse (Wheat),,4.0,Other
NoDa Brewing Company,Boiler Hater,American-Style Pale Ale,Limited,5.8,Pale Ale
NoDa Brewing Company,Breast Intentions,French & Belgian-Style Saison,,6.0,Saison
NoDa Brewing Company,Burn Out,American-Style Brown Ale,Limited,9.5,Ale
NoDa Brewing Company,Calyptic Blonde Ale,Belgian-Style Blonde Ale,Limited,5.6,Ale
NoDa Brewing Company,CaraRyeZer,American-Style Pale Ale,Limited,5.0,Pale Ale
NoDa Brewing Company,CAVU,Golden or Blonde Ale,,4.6,Ale
NoDa Brewing Company,CHAllie Brown,English-Style Brown Ale,Limited,4.4,Ale
NoDa Brewing Company,Coco Loco,Robust Porter,Year Round,6.2,Porter
NoDa Brewing Company,Cold Crash,Herb and Spice Beer,Winter,6.2,Other
NoDa Brewing Company,Czech Mate,American-Style Pilsener,,5.0,Other
NoDa Brewing Company,Dark Thymes,French & Belgian-Style Saison,Limited,6.1,Saison
NoDa Brewing Company,Dirty Monkey,South German-Style Dunkel Weizen / Dunkel Weissbier,Limited,5.4,Other
NoDa Brewing Company,Draft Monk,American-Belgo-Style Ale,,5.6,Ale
NoDa Brewing Company,Drop Dead Gordgeous,Pumpkin Beer,,9.2,Other
NoDa Brewing Company,Dubbel Trouble,Belgian-Style Dubbel,,7.4,Other
NoDa Brewing Company,Dynamic Duo,Imperial or Double India Pale Ale,,10.1,IPA
NoDa Brewing Company,Epiphany Pale Ale,American-Style Pale Ale,,6.6,Pale Ale
NoDa Brewing Company,Extra Special Bart,Extra Special Bitter,Limited,6.0,Other
NoDa Brewing Company,Fuzz IPA,American-Style India Pale Ale,,7.0,IPA
NoDa Brewing Company,Get The Party Tarted,Berliner-Style Weisse (Wheat),Limited,4.5,Other
NoDa Brewing Company,Getting Caught In the Grain,American-Style Wheat Wine Ale,,4.6,Ale
NoDa Brewing Company,Ghost Hop,Specialty Beer,Seasonal,6.0,Other
NoDa Brewing Company,Good Cookie Pecan Sandie,Golden or Blonde Ale,,5.6,Ale
NoDa Brewing Company,Good Will Hopping,American-Style India Pale Ale,,7.4,IPA
NoDa Brewing Company,Gordgeous,Pumpkin Beer,Fall,6.4,Other
NoDa Brewing Company,Grapefruit Geddy,American-Style India Pale Ale,,6.5,IPA
NoDa Brewing Company,GREEN TEA LEMON KOLSCH,German-Style Kölsch / Köln-Style Kölsch,,5.2,Other
NoDa Brewing Company,Hart en Ziel,Belgian-Style Pale Strong Ale,Limited,7.8,Ale
NoDa Brewing Company,Hazy Hash IPA,American-Style India Pale Ale,,7.0,IPA
NoDa Brewing Company,HefeRyezen,South German-Style Hefeweizen / Hefeweissbier,Limited,4.7,Hefeweizen
NoDa Brewing Company,Hop Cakes,Imperial or Double India Pale Ale,Limited,10.0,IPA
NoDa Brewing Company,Hop Experiment - Mosaic,American-Style Pale Ale,,,Pale Ale
NoDa Brewing Company,Hop Roggen,Rye Ale or Lager with or without Yeast,,5.5,Other
NoDa Brewing Company,"Hop, Drop 'n Roll",American-Style India Pale Ale,Year Round,7.2,IPA
NoDa Brewing Company,Hope's Stout,Sweet or Cream Stout,Limited,4.0,Stout
NoDa Brewing Company,Hoppy Holidays,American-Style India Pale Ale,,6.5,IPA
NoDa Brewing Company,Hopslager,American-Style Lager,,4.5,Lager
NoDa Brewing Company,Hot Pistol,Specialty Stouts,,7.0,Other
NoDa Brewing Company,Imperial CoCo LoCo,Brown Porter,Limited,9.7,Porter
NoDa Brewing Company,"Imperial Hop, Drop 'N Roll",Imperial or Double India Pale Ale,,10.0,IPA
NoDa Brewing Company,Jam Session,American-Style Pale Ale,Year Round,5.1,Pale Ale
NoDa Brewing Company,Jole Mole,American-Style Amber/Red Ale,Limited,6.1,Ale
NoDa Brewing Company,Kinda Peachy,American-Style Sour Ale,,4.4,Ale
NoDa Brewing Company,Kiwi Blonde,Golden or Blonde Ale,,4.6,Ale
NoDa Brewing Company,KiWit,Belgian-Style White (or Wit) / Belgian-Style Wheat,Limited,5.0,Other
NoDa Brewing Company,Kukumber Kolsch,German-Style Kölsch / Köln-Style Kölsch,,5.3,Other
NoDa Brewing Company,Lemon Shortbread Kolsch,German-Style Kölsch / Köln-Style Kölsch,,4.8,Other
NoDa Brewing Company,Liquid Lust,British-Style Imperial Stout,Limited,11.6,Stout
NoDa Brewing Company,Melon Drop Blonde,Golden or Blonde Ale,,5.3,Ale
NoDa Brewing Company,Mexi Lager,American-Style Lager,,5.3,Lager
NoDa Brewing Company,Midnight Madness,American-Style Black Ale,Year Round,6.65,Ale
NoDa Brewing Company,Minty Thin,Brown Porter,,5.8,Porter
NoDa Brewing Company,Monk's Trunks,Belgian-Style Pale Ale,Year Round,5.2,Pale Ale
NoDa Brewing Company,Montro,American-Style Imperial Stout,,11.2,Stout
NoDa Brewing Company,Morning NoDaVation,American-Style Stout,Limited,5.8,Stout
NoDa Brewing Company,Muffin Top,American-Style Amber/Red Ale,,6.8,Ale
NoDa Brewing Company,N.E. Day Pale Ale,American-Style Pale Ale,,5.2,Pale Ale
NoDa Brewing Company,Natural Blond,Belgian-Style Blonde Ale,Limited,7.6,Ale
NoDa Brewing Company,Naughty List,Specialty Beer,Limited,7.2,Other
NoDa Brewing Company,NoDajito,Belgian-Style White (or Wit) / Belgian-Style Wheat,Year Round,4.8,Other
NoDa Brewing Company,NoDaRyeZ'd,American-Style India Pale Ale,Limited,8.65,IPA
NoDa Brewing Company,Not Your Dad's ChamBEER,American-Style Pale Ale,,6.0,Pale Ale
NoDa Brewing Company,Old Voyage,British-Style Barley Wine Ale,,9.6,Ale
NoDa Brewing Company,PACIFIC REIGN,Imperial or Double India Pale Ale,,9.8,IPA
NoDa Brewing Company,Pacific Reign,Imperial or Double India Pale Ale,Limited,9.8,IPA
NoDa Brewing Company,Par 4,Session India Pale Ale,,4.0,IPA
NoDa Brewing Company,Premium Roast Coffee Stout,Coffee-Flavored Beer,,5.5,Other
NoDa Brewing Company,Proceed With Kolschion,German-Style Kölsch / Köln-Style Kölsch,,4.6,Other
NoDa Brewing Company,Queen City Unity,American-Style India Pale Ale,,7.0,IPA
NoDa Brewing Company,Ramble on Red,American-Style Amber/Red Ale,Year Round,5.2,Ale
NoDa Brewing Company,Red Summit,American-Style India Pale Ale,Limited,7.0,IPA
NoDa Brewing Company,Respect Your Elderflower,Contemporary Gose,,4.0,Other
NoDa Brewing Company,Roaring Riot Rye Pale Ale,American-Style Pale Ale,Fall,5.5,Pale Ale
NoDa Brewing Company,Rye Not Stout,American-Style Stout,Limited,6.8,Stout
NoDa Brewing Company,Rye So Serious???,Belgian-Style Dark Strong Ale,Limited,8.0,Ale
NoDa Brewing Company,Ryet Spice Belgian Wit,Belgian-Style White (or Wit) / Belgian-Style Wheat,Limited,4.8,Other
NoDa Brewing Company,S'more Porter,Brown Porter,Limited,5.8,Porter
NoDa Brewing Company,S.S.A.S.M.A.S.H.,Specialty Beer,Limited,4.3,Other
NoDa Brewing Company,Saison De Maison,French & Belgian-Style Saison,,5.3,Saison
NoDa Brewing Company,Samoan Blonde,Golden or Blonde Ale,,4.9,Ale
NoDa Brewing Company,Satsuma IPA,American-Style India Pale Ale,,7.0,IPA
NoDa Brewing Company,Single Berry,Fruit Wheat Ale or Lager with or without Yeast,Limited,3.9,Other
NoDa Brewing Company,Special Bee,Other Belgian-Style Ales,Limited,6.6,Other
NoDa Brewing Company,Steam Punk,California Common Beer,,5.3,Other
NoDa Brewing Company,Sticky Rice,American-Style Lager,,4.1,Lager
NoDa Brewing Company,Sticky When Wet,American-Style India Pale Ale,,6.3,IPA
NoDa Brewing Company,Stoutzilla,American-Style Stout,,6.0,Stout
NoDa Brewing Company,Such A Teaz,American-Style India Pale Ale,,5.7,IPA
NoDa Brewing Company,Summer Heat Wheat,American-Style Wheat Beer,,5.4,Wheat Beer
NoDa Brewing Company,Tagging-Along,American-Style Brown Ale,,5.4,Ale
NoDa Brewing Company,Tart Attack,Berliner-Style Weisse (Wheat),Limited,4.3,Other
NoDa Brewing Company,Tart Your Engines,Berliner-Style Weisse (Wheat),Limited,5.23,Other
NoDa Brewing Company,Top of the Charts,American-Style India Pale Ale,Limited,6.0,IPA
NoDa Brewing Company,TriUmphant,Belgian-Style Tripel,Year Round,9.7,Other
NoDa Brewing Company,Weizen Up,South German-Style Hefeweizen / Hefeweissbier,,5.3,Hefeweizen
NoDa Brewing Company,Winter Rose,Golden or Blonde Ale,Limited,6.0,Ale
NoDa Brewing Company,Woody & Wilcox,American-Style India Pale Ale,Year Round,6.0,IPA
NoDa Brewing Company,Woody & Wilcox’s Hop Experiment Session Ale - Special Hop Blend,Session India Pale Ale,,4.9,IPA
NoDa Brewing Company,Zest Fest,Other Belgian-Style Ales,Limited,6.5,Other
Blue Ghost Brewing Company,Blood Orange Pale Ale,American-Style Pale Ale,Limited,5.3,Pale Ale
Blue Ghost Brewing Company,Cranberry Kölsch,German-Style Kölsch / Köln-Style Kölsch,,4.5,Other
Blue Ghost Brewing Company,Fall Amber with Roasted Pecans,American-Style Amber/Red Ale,Seasonal,6.1,Ale
Blue Ghost Brewing Company,Heaven Hill Bourbon Barrel-Aged Imperial Stout,American-Style Imperial Stout,Limited,11.8,Stout
Blue Ghost Brewing Company,Hoppy Blonde,Golden or Blonde Ale,,6.0,Ale
Blue Ghost Brewing Company,No Noggin Pumpkinhead Ghostman Ale,Strong Ale,Seasonal,7.0,Ale
Pig Pounder Brewery,Barbieswine,British-Style Barley Wine Ale,Seasonal,11.0,Ale
Pig Pounder Brewery,Boar Bitter,Ordinary Bitter,,3.8,Other
Pig Pounder Brewery,Boar Brown,American-Style Brown Ale,,5.0,Ale
Pig Pounder Brewery,Boarrior IPA,Classic English-Style Pale Ale,Year Round,5.2,Pale Ale
Pig Pounder Brewery,Extra Special Pig,Extra Special Bitter,,5.3,Other
Pig Pounder Brewery,Hoofenweizen,South German-Style Hefeweizen / Hefeweissbier,Spring,5.0,Hefeweizen
Pig Pounder Brewery,Hunting Saison,French & Belgian-Style Saison,,6.0,Saison
Pig Pounder Brewery,Mild Mud,English-Style Pale Mild Ale,,3.6,Ale
Pig Pounder Brewery,PIg Porker,Brown Porter,,5.3,Porter
Pig Pounder Brewery,Pigmosa,Specialty Beer,,4.1,Other
Pig Pounder Brewery,Plain Pig,English-Style Pale Mild Ale,Year Round,3.8,Ale
Pig Pounder Brewery,Punk Pig Ale,Herb and Spice Beer,Fall,3.8,Other
Pig Pounder Brewery,Punk Piggy,Herb and Spice Beer,Fall,8.0,Other
Pig Pounder Brewery,Snout Stout,American-Style Stout,,4.8,Stout
R & D Brewing,Hazy Pale Ale,Juicy or Hazy Pale Ale,,5.2,Pale Ale
R & D Brewing,LoCal Resolution,American-Style Low-Carbohydrate Light Lager,,4.2,Lager
R & D Brewing,Riviera,"Australasian, Latin American or Tropical-Style Light Lager",,5.0,Lager
R & D Brewing,Seven Saturdays,American-Style India Pale Ale,,6.2,IPA
New Village Brewery and Taproom,All Hopped up Brown Ale,American-Style Brown Ale,Year Round,6.4,Ale
New Village Brewery and Taproom,Chuck-Will's Widow Black IPA,American-Style India Pale Ale,,6.8,IPA
New Village Brewery and Taproom,Farmhouse Brown Ale,American-Style Brown Ale,Year Round,6.9,Ale
New Village Brewery and Taproom,Farmhouse Dubbel,Belgian-Style Dubbel,Year Round,8.8,Other
New Village Brewery and Taproom,Farmhouse IPA,American-Style India Pale Ale,Year Round,8.9,IPA
New Village Brewery and Taproom,Farmhouse Saison: Batch II,French & Belgian-Style Saison,Limited,5.8,Saison
New Village Brewery and Taproom,Farmhouse Tripel,Belgian-Style Tripel,Year Round,10.2,Other
New Village Brewery and Taproom,High Water IPA,American-Style India Pale Ale,Year Round,7.2,IPA
New Village Brewery and Taproom,Lili's Breakfast Stout,American-Style Stout,Year Round,5.8,Stout
New Village Brewery and Taproom,Purdy's Pale Ale,American-Style Pale Ale,Year Round,5.7,Pale Ale
Whistle Hop Brewing Company,Banana Wheat,South German-Style Hefeweizen / Hefeweissbier,Year Round,4.5,Hefeweizen
Whistle Hop Brewing Company,Bodhisattva Wit,Belgian-Style White (or Wit) / Belgian-Style Wheat,Year Round,5.0,Other
Whistle Hop Brewing Company,Burdock Saints Bourbon Barrel Aged Baltic Porter,Baltic-Style Porter,Year Round,10.2,Porter
Whistle Hop Brewing Company,Chai White IPA,American-Style India Pale Ale,Year Round,5.6,IPA
Whistle Hop Brewing Company,Cherry Brut IPA,American-Style India Pale Ale,Year Round,6.8,IPA
Whistle Hop Brewing Company,Chimperial IPA,Imperial or Double India Pale Ale,Year Round,8.0,IPA
Whistle Hop Brewing Company,Coconut Curry India Black Ale,American-Style India Pale Ale,Year Round,6.4,IPA
Whistle Hop Brewing Company,Honey Fig Saison,French & Belgian-Style Saison,Year Round,6.4,Saison
Whistle Hop Brewing Company,Orange Blossom Ginger Tripel,Belgian-Style Tripel,Year Round,8.5,Other
Whistle Hop Brewing Company,Pale By Rail,Classic English-Style Pale Ale,Year Round,5.2,Pale Ale
Whistle Hop Brewing Company,Pineapple Rail NEIPA,American-Style India Pale Ale,Year Round,5.0,IPA
Whistle Hop Brewing Company,Pineapple Sage Gose,Contemporary Gose,Year Round,4.5,Other
Whistle Hop Brewing Company,Signal Red Saison,French & Belgian-Style Saison,Year Round,5.5,Saison
Whistle Hop Brewing Company,SOB (South Of the Border) Porter,Brown Porter,Year Round,4.5,Porter
Railhouse Brewery,BeerGasm,American-Style Barley Wine Ale,Seasonal,10.5,Ale
Railhouse Brewery,English Ale,Classic English-Style Pale Ale,Seasonal,6.5,Pale Ale
Railhouse Brewery,FCA IPA,American-Style India Pale Ale,Year Round,7.5,IPA
Railhouse Brewery,Honey Wheat,American-Style Wheat Beer,Seasonal,5.5,Wheat Beer
Railhouse Brewery,Ka-Bar Brown,American-Style Brown Ale,Year Round,6.0,Ale
Railhouse Brewery,Mastiff,Oatmeal Stout,Year Round,6.5,Stout
Railhouse Brewery,Pineland Pale Ale,American-Style Pale Ale,,5.25,Pale Ale
Wilmington Brewing Company,Amarillo Saison,French & Belgian-Style Saison,,,Saison
Wilmington Brewing Company,Baby Goose IPA,American-Style India Pale Ale,,,IPA
Wilmington Brewing Company,Beer Garden Kolsch,German-Style Kölsch / Köln-Style Kölsch,,4.7,Other
Wilmington Brewing Company,Blair's Breakfast Stout,American-Style Stout,,7.0,Stout
Wilmington Brewing Company,Houblon de Ferme,French & Belgian-Style Saison,,7.2,Saison
Wilmington Brewing Company,Midtown Swank,American-Style India Pale Ale,,8.2,IPA
Wilmington Brewing Company,Sneaky Goose Double IPA,Imperial or Double India Pale Ale,,9.6,IPA
Wilmington Brewing Company,Tropical Lightning,American-Style India Pale Ale,,7.6,IPA
High Branch Brewing,Big Sister,Imperial or Double India Pale Ale,,8.0,IPA
High Branch Brewing,Crazy Lucia,Belgian-Style Blonde Ale,,6.1,Ale
High Branch Brewing,Lake View,American-Style Pale Ale,,5.5,Pale Ale
High Branch Brewing,Little Sis,American-Style India Pale Ale,,6.5,IPA
High Branch Brewing,Local Influence Series,French & Belgian-Style Saison,,,Saison
High Branch Brewing,Session Sour Series,American-Style Sour Ale,,,Ale
High Branch Brewing,Tied On,Belgian-Style Pale Strong Ale,,8.9,Ale
High Branch Brewing,Tweener,French & Belgian-Style Saison,,5.5,Saison
High Branch Brewing,Wakey Wakey,Coffee-Flavored Beer,,6.0,Other
Burial Beer Co.,A Paranormal Vibe,Imperial or Double India Pale Ale,,8.5,IPA
Burial Beer Co.,Adoration,French & Belgian-Style Saison,,6.5,Saison
Burial Beer Co.,Allegory of Gluttony And Lust,Imperial or Double India Pale Ale,,8.5,IPA
Burial Beer Co.,Ammunition,American-Style Brown Ale,,4.5,Ale
Burial Beer Co.,An Imaginary Spirit of the Air,French & Belgian-Style Saison,,4.8,Saison
Burial Beer Co.,Anno Domini XV,French & Belgian-Style Saison,,,Saison
Burial Beer Co.,Beacon of the Abyss,American-Style Lager,Limited,5.0,Lager
Burial Beer Co.,Billows,German-Style Kölsch / Köln-Style Kölsch,,4.9,Other
Burial Beer Co.,Blade & Sheath,American-Style Pale Ale,,6.0,Pale Ale
Burial Beer Co.,Bolo Coconut Brown,American-Style Brown Ale,,5.6,Ale
Burial Beer Co.,Bright Lights & Butterfly Blades,American-Style Sour Ale,,6.5,Ale
Burial Beer Co.,Ceremonial Session IPA,Session India Pale Ale,,4.0,IPA
Burial Beer Co.,Ceremonial Session IPA - Citra,American-Style India Pale Ale,,4.0,IPA
Burial Beer Co.,Crucifix,Belgian-Style Tripel,,9.1,Other
Burial Beer Co.,Gandasa,American-Style India Pale Ale,,8.0,IPA
Burial Beer Co.,Gang of Blades,Imperial or Double India Pale Ale,,8.3,IPA
Burial Beer Co.,Griddle Imperial Espresso Stout,American-Style Imperial Stout,,10.0,Stout
Burial Beer Co.,Hawk Bill IPA,American-Style India Pale Ale,,6.0,IPA
Burial Beer Co.,Hawkbill IPA,American-Style India Pale Ale,,6.0,IPA
Burial Beer Co.,Haysaw Saison,French & Belgian-Style Saison,Limited,6.2,Saison
Burial Beer Co.,Houtenhamer Double Barrel-Aged Imperial Stout,American-Style Imperial Stout,,10.0,Stout
Burial Beer Co.,I know For A Fact You Don't Party,American-Style Imperial Stout,,10.0,Stout
Burial Beer Co.,Inner Tube,American-Style Lager,,3.2,Lager
Burial Beer Co.,Mango Lassi Gose,Contemporary Gose,,4.0,Other
Burial Beer Co.,Ocean Swallows,Contemporary Gose,,4.5,Other
Burial Beer Co.,One For Me,Münchner (Munich)-Style Helles,,5.5,Other
Burial Beer Co.,Pipehawk Mountain Ale,Session India Pale Ale,Limited,5.5,IPA
Burial Beer Co.,Prismatic Eye,Imperial or Double India Pale Ale,,,IPA
Burial Beer Co.,Scythe Rye India Pale Ale,American-Style India Pale Ale,,7.0,IPA
Burial Beer Co.,Secrets And Lovers,Münchner (Munich)-Style Helles,,5.1,Other
Burial Beer Co.,Shadowclock Pilsner,American-Style Pilsener,,5.5,Other
Burial Beer Co.,Ship Of Fools,French & Belgian-Style Saison,,4.6,Saison
Burial Beer Co.,Skillet Donut Stout,American-Style Stout,,8.0,Stout
Burial Beer Co.,Skullsaw Porter,Brown Porter,,6.0,Porter
Burial Beer Co.,Spoon Oatmeal Pale Ale,American-Style Pale Ale,Limited,6.3,Pale Ale
Burial Beer Co.,Surf Wax IPA,American-Style India Pale Ale,Limited,6.8,IPA
Burial Beer Co.,The Cosmic and Divine Imperial Stout,Specialty Stouts,,,Other
Burial Beer Co.,The Crystal Sphere,Imperial or Double India Pale Ale,,8.3,IPA
Burial Beer Co.,The Keeper's Veil,French & Belgian-Style Saison,,5.3,Saison
Burial Beer Co.,The Pain That Kills,Contemporary Gose,,5.0,Other
Burial Beer Co.,The Rosary,Belgian-Style Dubbel,,,Other
Burial Beer Co.,The Separation of Light and Darkness,French & Belgian-Style Saison,,5.0,Saison
Burial Beer Co.,The Tearing of Flesh From Bone,Imperial or Double India Pale Ale,,8.2,IPA
Burial Beer Co.,Thresher,French & Belgian-Style Saison,,4.8,Saison
Burial Beer Co.,ThumbScrews,American-Style Black Ale,,9.0,Ale
Burial Beer Co.,Tin Cup Camp Stout,Sweet or Cream Stout,,5.0,Stout
Burial Beer Co.,Transfiguration,French & Belgian-Style Saison,,7.7,Saison
Burial Beer Co.,Tuskhorn,American-Style India Pale Ale,,7.0,IPA
Burial Beer Co.,Ulfberht Baltic Porter,Baltic-Style Porter,,7.8,Porter
Burial Beer Co.,Velvet Magnum,American-Style Imperial Stout,,9.0,Stout
Burial Beer Co.,Voorhamer Imperial Stout,American-Style Imperial Stout,Limited,10.0,Stout
Burial Beer Co.,Waves Crash Upon Us - Brett Pale,American-Style Pale Ale,,5.8,Pale Ale
Burial Beer Co.,Winnower,Brown Porter,,6.5,Porter
Burial Beer Co.,Winnower Chocolate Raspberry Porter,Brown Porter,,7.0,Porter
Lincoln Brewing Co.,.58 Caliber,American-Style India Pale Ale,Year Round,,IPA
Lincoln Brewing Co.,16th Saison,French & Belgian-Style Saison,,7.5,Saison
Lincoln Brewing Co.,Pulp Fiction,American-Style India Pale Ale,,6.7,IPA
Lincoln Brewing Co.,St Arnulf,Belgian-Style Dark Strong Ale,,11.0,Ale
Granite Falls Brewing Company,1716 Castle Stormer Scottish Ale,Scottish-Style Heavy Ale,,9.0,Ale
Granite Falls Brewing Company,Baird's Forge Imperial Red,Imperial Red Ale,,10.25,Ale
Granite Falls Brewing Company,Beach Head Lime Cilantro,Golden or Blonde Ale,,6.0,Ale
Granite Falls Brewing Company,Blueberry Falls,American-Style Sour Ale,,6.05,Ale
Granite Falls Brewing Company,Boysenberry Falls Boysenberry Sour,American-Style Sour Ale,,5.7,Ale
Granite Falls Brewing Company,Castle Stormer,Scotch Ale,,9.0,Ale
Granite Falls Brewing Company,Das Delikat Berliner Weisse,Berliner-Style Weisse (Wheat),,3.15,Other
Granite Falls Brewing Company,Gunpowder Creek Stout,American-Style Stout,,4.8,Stout
Granite Falls Brewing Company,Hoppalachia IPA,American-Style India Pale Ale,Year Round,6.7,IPA
Granite Falls Brewing Company,Hot Jalopy Strawberry Sour Ale,American-Style Sour Ale,,5.4,Ale
Granite Falls Brewing Company,Knotty Gurl Blonde,Golden or Blonde Ale,Year Round,4.0,Ale
Granite Falls Brewing Company,Knotty Squirrel Imperial Blonde,Golden or Blonde Ale,Limited,9.2,Ale
Granite Falls Brewing Company,Leaves of Grass Series: Me Imperturbe,Wild Beer,Limited,6.5,Other
Granite Falls Brewing Company,Perseus Triple IPA,Imperial or Double India Pale Ale,Limited,13.4,IPA
Granite Falls Brewing Company,Southern Revival,American-Style Imperial Stout,,11.8,Stout
